Name,Slug,Description,Short Description,Category,Price,Compare At Price,SKU,Stock Quantity,Low Stock Threshold,Brand,Shade/Color,Weight,Ingredients,Featured,Active
"Velvet Matte Lipstick - Ruby Red",velvet-matte-lipstick-ruby-red,"A luxurious velvet matte lipstick with intense color payoff and all-day comfort. The creamy formula glides on smoothly and sets to a beautiful matte finish without drying out your lips.",Luxurious velvet matte finish in a stunning ruby red shade,Lipsticks,24.99,34.99,LIP-VEL-RUB-001,45,10,GlamPro,Ruby Red,3.5g,"Dimethicone, Synthetic Wax, Silica, Vitamin E, Natural Oils",TRUE,TRUE
"Satin Finish Lipstick - Nude Rose",satin-finish-lipstick-nude-rose,"The perfect everyday nude with a satin finish. This lipstick provides buildable coverage with a comfortable, non-drying formula enriched with moisturizing ingredients.",Everyday nude with moisturizing satin finish,Lipsticks,22.99,,LIP-SAT-NUD-002,38,10,GlamPro,Nude Rose,3.5g,"Castor Oil, Beeswax, Vitamin E, Shea Butter, Natural Pigments",FALSE,TRUE
"Glossy Lip Lacquer - Berry Burst",glossy-lip-lacquer-berry-burst,"High-shine lip lacquer with a non-sticky formula. Delivers intense color and brilliant shine that lasts for hours.","High-shine, non-sticky berry gloss",Lipsticks,18.99,,LIP-GLS-BER-003,52,10,LuxeGloss,Berry Burst,4ml,"Polybutene, Vitamin E, Natural Oils, Mica, Fragrance",TRUE,TRUE
"Glamour Nights Eyeshadow Palette",glamour-nights-eyeshadow-palette,"A versatile 12-shade palette featuring a mix of matte, shimmer, and metallic finishes. From soft neutrals to dramatic smoky shades, create endless eye looks for day or night.",12 stunning shades for day to night looks,Eyeshadow,42.99,58.99,EYE-PAL-GLM-001,28,5,ColorCraft,Neutral & Smoky,15g,"Talc, Mica, Synthetic Fluorphlogopite, Vitamin E, Mineral Pigments",TRUE,TRUE
"Rose Gold Shimmer Shadow",rose-gold-shimmer-shadow,"A stunning rose gold shimmer eyeshadow with incredible color payoff. The buttery formula blends seamlessly and stays put all day without creasing.",Buttery rose gold shimmer with all-day wear,Eyeshadow,16.99,,EYE-SGL-RSG-002,42,10,ColorCraft,Rose Gold,2.5g,"Mica, Talc, Titanium Dioxide, Iron Oxides, Vitamin E",FALSE,TRUE
"Matte Brown Eyeshadow Duo",matte-brown-eyeshadow-duo,"Perfect for sculpting and defining, this duo features two essential matte brown shades. Highly pigmented and easy to blend.",Essential matte browns for sculpting,Eyeshadow,19.99,,EYE-DUO-BRN-003,5,10,ColorCraft,Light & Medium Brown,4g,"Talc, Mica, Kaolin Clay, Vitamin E, Natural Pigments",FALSE,TRUE
"Flawless Coverage Foundation - Porcelain",flawless-coverage-foundation-porcelain,"Medium to full coverage foundation with a natural matte finish. This long-wearing formula provides up to 24-hour coverage while feeling lightweight on the skin. Enriched with skincare ingredients.",24-hour coverage with a natural matte finish,Foundation,38.99,48.99,FND-FLW-POR-001,35,8,PerfectBase,Porcelain,30ml,"Water, Dimethicone, Glycerin, Titanium Dioxide, Hyaluronic Acid, SPF 15",TRUE,TRUE
"Flawless Coverage Foundation - Honey",flawless-coverage-foundation-honey,"Medium to full coverage foundation perfect for medium skin tones. Natural matte finish with 24-hour wear and skincare benefits.",Perfect for medium skin with warm undertones,Foundation,38.99,,FND-FLW-HON-002,32,8,PerfectBase,Honey,30ml,"Water, Dimethicone, Glycerin, Iron Oxides, Hyaluronic Acid, SPF 15",FALSE,TRUE
"Dewy Glow Foundation - Beige",dewy-glow-foundation-beige,"Lightweight foundation with a luminous finish. Provides buildable coverage while giving your skin a healthy, radiant glow. Perfect for dry or normal skin types.",Luminous lightweight foundation for glowing skin,Foundation,36.99,,FND-DEW-BEI-003,28,8,RadiantGlow,Beige,30ml,"Water, Glycerin, Hyaluronic Acid, Vitamin C, Pearl Extract, SPF 20",FALSE,TRUE
"Powder Blush - Pink Petal",powder-blush-pink-petal,"Silky powder blush that delivers a natural flush of color. The buildable formula blends seamlessly and lasts all day without fading.",Natural flush with buildable color,Blush,21.99,,BLH-PWD-PNK-001,40,10,ColorBloom,Pink Petal,5g,"Talc, Mica, Vitamin E, Natural Pigments, Jojoba Oil",FALSE,TRUE
"Cream Blush - Coral Kiss",cream-blush-coral-kiss,"Creamy blush stick for a dewy, natural-looking flush. Easy to apply and blend, perfect for on-the-go touch-ups.",Creamy stick blush for dewy cheeks,Blush,24.99,,BLH-CRM-COR-002,33,10,ColorBloom,Coral Kiss,4g,"Dimethicone, Vitamin E, Shea Butter, Natural Pigments",TRUE,TRUE
"Volume Max Mascara - Black",volume-max-mascara-black,"Dramatic volume mascara with a specially designed brush that coats every lash. Buildable formula for customizable volume without clumping or flaking.",Dramatic volume without clumps,Mascara,19.99,26.99,MSC-VOL-BLK-001,55,15,LashPerfect,Black,8ml,"Water, Beeswax, Carnauba Wax, Panthenol, Vitamin E, Iron Oxides",TRUE,TRUE
"Lengthening Mascara - Brown",lengthening-mascara-brown,"Lengthening mascara that extends and defines each lash. Perfect for a natural, everyday look with a brown tint.",Natural lengthening in soft brown,Mascara,18.99,,MSC-LEN-BRN-002,8,15,LashPerfect,Brown,8ml,"Water, Beeswax, Carnauba Wax, Panthenol, Vitamin E, Natural Pigments",FALSE,TRUE
